designator,category,description,required,notes
U1,mcu,ESP32-S3 module with adequate flash and PSRAM,true,Use a module for Rev A unless bare-chip RF and certification work is explicitly accepted.
U2,secure_element,TROPIC01 QFN32 secure element,true,Prefer current recommended or vendor-confirmed part numbers such as TR01-C2P-T301/T310.
U3,power,3.3 V regulator sized for ESP32-S3 display and TROPIC01 current,true,Do not assume AP2112K margin is sufficient until thermal/current budget is checked.
U4,power,TROPIC01 load switch or power-gating circuit,true,Used for controlled TROPIC01 power-cycle reset and recovery.
J1,usb,USB-C receptacle for 5 V power and USB 2.0 data,true,Populate CC1/CC2 pulldowns and route D+/D- as USB differential pair.
F1,protection,Resettable fuse or input current protection,true,Place on USB VBUS input before board power distribution.
D1,protection,USB ESD protection for D+ and D-,true,Use low-capacitance USB 2.0 suitable part near connector.
R1 R2,usb,5.1k CC pulldown resistors,true,Required for USB-C sink/device behavior.
R3 R4,usb,22 or 33 ohm USB D+/D- series resistors,true,Follow ESP32-S3 hardware guideline placement close to the MCU.
C1 C2,power,10 uF input and output bulk capacitors,true,Size and voltage rating to match selected regulator.
C3 C4 C5,secure_element,100 nF TROPIC01 local decoupling capacitors,true,One close to each TROPIC01 VCC pin.
R5,secure_element,47k TROPIC01 reference pull resistor,true,Use value and placement from Tropic Square reference designs.
J2,display,LCD FPC or board-to-board display connector,true,Display choice remains open until trusted review UX is accepted.
DISP1,display,Trusted local display,true,Must support complete event review pages.
SW1 SW2 SW3 SW4 SW5,input,D-pad or navigation buttons,true,Use tactile physical controls.
SW6,input,Dedicated reject or back button,true,Reject/cancel must remain distinct from approve.
TP1 TP2 TP3 TP4,programming,UART/JTAG/provisioning pads,true,Required for bring-up and factory provisioning; lock/debug policy required before production.
TP5 TP6 TP7 TP8,secure_element,TROPIC01 SPI/GPO test pads,false,Useful for logic analyzer bring-up; remove or protect in production revisions.
MECH1,mechanical,LCD flat-cable slot and display mounting area,false,Needed if using a bare LCD panel with rear-side FPC connector.
