designator,category,description,required,notes,manufacturer,mpn,package,footprint,datasheet,alternate_mpn,freeze_status,dnp,qty
U1,mcu,"ESP32-S3 Wi-Fi/BLE MCU module, 16 MB flash / 8 MB PSRAM, native USB",true,Top-bin flash/PSRAM (N16R8=16MB/8MB); native USB OTG used for field DFU.,Espressif Systems,ESP32-S3-WROOM-1-N16R8,"41-pad SMD module, PCB antenna",RF_Module:ESP32-S3-WROOM-1,https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.html,,candidate,false,1
U2,secure_element,TROPIC01 open/auditable secure element (mandatory open vault),true,"T310 [DEC] resolved (2026-07-18, spec 6.4); T301 dropped and T10x engineering samples excluded. QFN32 4x4mm and TR01-Cxx-xxxx order-code pattern vendor-confirmed; exact suffix per frozen maintainer decision.",Tropic Square,TR01-C2P-T310,"QFN32, 4x4 mm",Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,https://download.mikroe.com/documents/datasheets/TROPIC01_datasheet.pdf,,frozen,false,1
U3,secure_element,"Key-split companion secure element, vendor-diverse from TROPIC01, I2C",true,"OPTIGA Trust M1 populated by default (spec 2.2 key-split; no single chip holds plaintext decryption key). Full order P/N SLS32AIA010MSUSON10XTMA2. Alternate ATECC608B-MAHDA-S (Microchip, UDFN-8, datasheet https://www.microchip.com/en-us/product/atecc608b) sits on a separate footprint; DNP applies ONLY to that alternate footprint.",Infineon,SLS32AIA010MS,"PG-USON-10, 3x3 mm",Package_DFN_QFN:USON-10-1EP_3x3mm_P0.5mm,https://www.infineon.com/part/OPTIGA-TRUST-M-SLS32AIA,ATECC608B-MAHDA-S,candidate,false,1
J1,usb,USB-C 2.0 receptacle (device + field DFU),true,USB 2.0 Type-C; feeds BQ24074 input and carries USB-C DFU field-update path.,GCT (Global Connector Technology),USB4105-GF-A,"USB-C receptacle, 16 signal pins (+ shell stakes), SMT top-mount",Connector_USB:USB_C_Receptacle_GCT_USB4105,https://gct.co/connector/usb4105,,candidate,false,1
D1,usb,USB data-line ESD protection array,true,Low-capacitance ESD array protecting D+/D- and VBUS; placed at the connector. Selected mainstream USB 2.0 ESD part.,STMicroelectronics,USBLC6-2SC6,SOT-23-6L,Package_TO_SOT_SMD:SOT-23-6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,,candidate,false,1
U4,power,"3.3 V LDO regulator, 600 mA",true,"600 mA sized for ESP32-S3 peak TX current; 250 mV dropout, EN pin. Downstream of BQ24074 system rail.",Diodes Incorporated,AP2112K-3.3TRG1,SOT-25 (SOT-23-5),Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP2112.pdf,,candidate,false,1
U5,power,"USB power-path Li-ion charger, 1-cell",true,Spec 3 power part; charges over USB-C with seamless USB/battery dynamic power-path (DPPM).,Texas Instruments,BQ24074RGTR,"VQFN-16 (RGT), 3x3 mm",Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,https://www.ti.com/lit/ds/symlink/bq24074.pdf,,candidate,false,1
U6,power,"Li-ion fuel gauge, I2C",true,"Spec 3 power part; ModelGauge state-of-charge, I2C. G suffix = 2x2 TDFN (assemblable) vs X = 0.9x1.7 WLP.",Analog Devices (Maxim Integrated),MAX17048G+T10,"TDFN-8 EP, 2x2 mm",Package_DFN_QFN:TDFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max17048-max17049.pdf,,candidate,false,1
J5,battery,"Single-cell LiPo battery connector, 1.25 mm 2-pin",true,MX1.25 / PicoBlade convention (Waveshare-compatible). Connector is placed; the LiPo cell is user-supplied/optional and is NOT a BOM row.,Molex,53398-0271,"PicoBlade 1.25 mm, 2-circuit, SMT vertical",Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,https://www.molex.com/en-us/products/part-detail/533980271,,candidate,false,1
SW1,input,Confirm/approve tactile push-button (SMD),true,Dedicated physical approval input; ultra-small SMT tactile.,Omron,B3U-1000P,"SMD tactile, 3.0 x 1.6 mm, top-actuated",Button_Switch_SMD:SW_SPST_B3U-1000P,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,,candidate,false,1
J7,programming,UART/debug + programming pads (Tag-Connect TC2030 footprint),true,"Bring-up / serial console only; mates with Tag-Connect TC2030-IDC-NL spring-pin cable (bench accessory, not placed). Field firmware update path is USB-C DFU, not these pads.",Tag-Connect,TC2030 (PCB footprint),"TC2030 6-pad footprint, no placed connector",Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,https://www.tag-connect.com/product/tc2030-idc-nl,,candidate,false,1
J4,expansion,Gated SPI/I2C/GPIO expansion header (default-off),false,Default-off gating: bus exposed only via series jumpers (unpopulated) / load switch so it is isolated unless deliberately enabled. Final header MPN intentionally TBD.,TBD,TBD (generic 1.27 mm header),"1.27 mm pin header, position count TBD",TBD,TBD,,candidate,false,1
J6,expansion,"Qwiic/STEMMA-QT I2C port, JST-SH 4-pin (gated default-off)",false,Standard Qwiic/STEMMA-QT pinout (GND/3V3/SDA/SCL). Gated default-off: isolated unless deliberately enabled.,JST,SM04B-SRSS-TB,"JST SH 1.0 mm, 4-pin, SMT right-angle",Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,https://www.jst-mfg.com/product/pdf/eng/eSH.pdf,,candidate,false,1
J3,display,Board-to-board panel-tail connector for directly-mounted 1.69in ST7789V2 + CST816 panel,true,"Variant B: core-with-display; panel mounted directly on a display-sized board, no FPC flat cable. J3 is the panel-tail / board-to-board connector (display category) instead of an FPC connector -- only the connector type changes vs variant A.",Hirose (HRS),DF40C-18DP-0.4V(51),"18-pos, 0.4 mm pitch board-to-board/FPC header, DF40 series",Connector_Hirose:Hirose_DF40C-18DP-0.4V_2x09_P0.40mm_Vertical,https://www.hirose.com/product/series/DF40,,candidate,false,1
